Inventory Location|Box Unit|Part No.||Dept
917|SORT1|120|000000007189820130|20260120|E
917|SORT1|120|000000007189820130|20260120|E
917|SORT1|120|000000007189820130|20260120|E
917|SORT1|120|000000007189820130|20260120|E
917|SORT1|120|000000007189820130|20260120|E
917|SORT1|120|000000007189820130|20260120|E
917|SORT1|120|000000007189820130|20260120|E
917|SORT1|120|000000007189820130|20260120|E
917|SORT1|120|000000007189820130|20260123|E
917|SORT1|120|000000007189820130|20260123|E
917|SORT1|120|000000007189820130|20260123|E
917|SORT1|120|000000007189820130|20260125|E
917|SORT1|120|000000007189820130|20260125|E
917|SORT1|120|000000007189820130|20260125|E
917|SORT1|120|000000007189820130|20260125|E
917|SORT1|120|000000007189820130|20260125|E
917|SORT1|120|000000007189820130|20260125|E
917|SORT1|120|000000007189820130|20260128|E
917|SORT1|120|000000007189820130|20260129|E
917|SORT1|120|000000007189820130|20260129|E
917|SORT1|120|000000007189820130|20260129|E
917|SORT1|300|000000007186677960|20251206|E
917|SORT1|120|000000007189820130|20260123|E
917|SORT1|120|000000007189820130|20260125|E
917|SORT1|120|000000007189820130|20260125|E
917|SORT1|120|000000007189820130|20260125|E
917|SORT1|120|000000007189820130|20260125|E
917|SORT1|120|000000007189820130|20260125|E
917|SORT1|120|000000007189820130|20260125|E
917|SORT1|244|000000007183557410|20260129|E
917|SORT1|244|000000007183557410|20260129|E
917|SORT1|244|000000007183557410|20260129|E
917|SORT1|1624|000000000071721704|20260129|E
917|SORT1|1624|000000000071721704|20260129|E
917|SORT1|244|000000007183557410|20260122|E
917|SORT1|244|000000007183557410|20260122|E
917|SORT1|244|000000007183557410|20260122|E
917|SORT1|244|000000007183557410|20260122|E
917|SORT1|244|000000007183557410|20260122|E
917|SORT1|244|000000007183557410|20260128|E
917|SORT1|120|000000007189820130|20260128|E
917|SORT1|244|000000007183557410|20260129|E
917|SORT1|244|000000007183557410|20260129|E
917|SORT1|120|000000007189820130|20260129|E
917|SORT1|120|000000007189820130|20260129|E
917|SORT1|120|000000007189820130|20260129|E
917|SORT1|120|000000007189820130|20260129|E
917|SORT1|244|000000007183557410|20260129|E
917|SORT1|748|000000000071835846|20260131|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260123|E
917|SORT1|120|000000007189820130|20260123|E
917|SORT1|120|000000007189820130|20260123|E
917|SORT1|120|000000007189820130|20260123|E
917|SORT1|120|000000007189820130|20260129|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260122|E
917|SORT1|120|000000007189820130|20260123|E
917|SORT1|120|000000007189820130|20260123|E
917|SORT1|120|000000007189820130|20260123|E
