Part Number|Description|Dep|PLN|Plant Mat Stat|Line|Unit/Bag|Unit/Box|UOM|Box Wgt Std|Stor.Conditions
7182637060|10P YESC-2 HYBRID UNSLD M HSG TYPE C, HP|E|Z2|20||1000.000|300.000|EA|3165.000|
7182591760|2.8 SYSTEM CONNECTOR 8P MALE HOUSING TYP|E|Z2|40|G0211004|1000.000|300.000|EA|2919.000|01
7182568860|15 SYSTEM CONNECTOR 4P MALE HOUSING, HPA|E|Z2|20||1000.000|1600.000|EA|9040.000|
7182568260|1.5 SYSTEM CONNECTOR 16P PCB(H) HOUSING,|E|Z2|20||1000.000|550.000|EA|4031.500|
7182568160|1.5 SYSTEM CONNECTOR 16P PCB(H)HOUSING,|E|Z2|20||1000.000|550.000|EA|3949.000|
7182568060|1.5 SYSTEM CONNECTOR 2P MALE HOUSING, HP|E|Z2|20||1000.000|1000.000|EA|4100.000|
7182564930|10P YESC-2 UNSEALED MALE CONNECTOR HOUSI|E|Z2|20||1000.000|300.000|EA|3996.000|
7173670730|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2969.850|01
7173670630|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2969.850|01
7173670530|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2969.850|01
7173670430|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2969.850|01
7173670330|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2969.850|01
7173670230|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2969.850|01
7173670130|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2969.850|01
7173670030|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2969.850|01
7173669930|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2969.850|01
7173669830|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2969.850|01
7173669730|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|3061.500|01
7173607030|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2969.850|01
7173606930|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2965.950|01
7173606830|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2965.950|01
7173606730|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2965.950|01
7173606630|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2965.950|01
7173606530|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2965.950|01
7173606430|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2965.950|01
7173606330|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2965.950|01
7173606230|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2965.950|01
7173606130|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2965.950|01
7173594330|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|390.000|EA|5939.700|01
7173546830|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2965.950|01
7173546730|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2965.950|01
7173546630|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2965.950|01
7173546530|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2965.950|01
7173546430|Mat Seal Cover Black|E|Z2|40|T2G03001|1000.000|195.000|EA|2965.950|01
